Statement,Link,Date, Source, Label
"Millions have died from COVID injections.",https://www.politifact.com/factchecks/2021/oct/01/blog-posting/report-shares-wildly-unfounded-claims-covid-19-vac/,tober 1^ 2021,Bloggers,pants-fire
The Pfizer COVID-19 vaccine contains an “undisclosed ingredient. … How is informed consent possible?”,https://www.politifact.com/factchecks/2021/oct/01/instagram-posts/redacted-ingredient-pfizer-covid-19-vaccine-just-w/,tober 1^ 2021,Instagram posts,false
“The vaccination campaign” increased COVID-19 deaths by 175% in one year.,https://www.politifact.com/factchecks/2021/oct/01/viral-image/claim-vaccine-campaign-boosted-covid-19-deaths-err/,tober 1^ 2021,Viral image,false
“Biden orders dishonorable discharge for 46% of troops who refuse vaccine.”,https://www.politifact.com/factchecks/2021/oct/01/instagram-posts/biden-hasnt-ordered-dishonorable-discharges-vaccin/,tober 1^ 2021,Instagram posts,false
“There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.”,https://www.politifact.com/factchecks/2021/oct/01/facebook-posts/no-back-cargo-ships-southern-california-coast-not-/,tober 1^ 2021,Facebook posts,barely-true
Says Sens. Joe Manchin and Kyrsten Sinema “are Republicans … Just look at the way they vote.”,https://www.politifact.com/factchecks/2021/sep/30/don-lemon/no-manchin-and-sinema-dont-vote-republicans/,mber 30^ 2021,Don Lemon,barely-true
Norway decided “that (the coronavirus) should be treated like other respiratory diseases^ such as the flu or cold^ because… it is no more dangerous than those mentioned.”,https://www.politifact.com/factchecks/2021/sep/30/blog-posting/norway-public-health-officials-did-not-say-coronav/,mber 30^ 2021,Bloggers,false
“Arizona audit” shows 86^391 voters “don’t appear to exist.”,https://www.politifact.com/factchecks/2021/sep/30/facebook-posts/distorted-claim-86391-voters-maricopa-dont-appear-/,mber 30^ 2021,Facebook posts,false
"Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.,https://www.politifact.com/factchecks/2021/sep/30/blog-posting/drug-pfizer-studying-covid-19-not-suspiciously-sim/,mber 30^ 2021,Bloggers,false
The government pays out "$2^125/month in refugee benefits to refugees resettled in the United States^" while Social Security recipients “who have paid into the system their whole lives receive $1^400/month on average.",https://www.politifact.com/factchecks/2021/sep/30/instagram-posts/comparison-refugee-social-security-payments-outdat/,mber 30^ 2021,Instagram posts,barely-true
The White House “created a fake set for (President Joe) Biden to get his booster shot. The entire Biden presidency is one giant charade.”,https://www.politifact.com/factchecks/2021/sep/30/facebook-posts/no-joe-biden-didnt-get-his-booster-shot-fake-white/,mber 30^ 2021,Facebook posts,false
VAERS reports show that babies whose mothers got the COVID-19 vaccine died after breastfeeding.,https://www.politifact.com/factchecks/2021/sep/30/instagram-posts/no-evidence-infant-died-due-breast-milk-vaccinated/,mber 30^ 2021,Instagram posts,false
The audit of the 2020 presidential election in Maricopa County^ Ariz.^ “cost the taxpayers $6 million.”,https://www.politifact.com/factchecks/2021/sep/30/instagram-posts/trump-backers-paid-nearly-all-6-million-cost-ariz-/,mber 30^ 2021,Instagram posts,barely-true
Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,https://www.politifact.com/factchecks/2021/sep/30/glenn-grothman/grothman-right-claim-harmful-content-warnings-plac/,mber 30^ 2021,Glenn Grothman,half-true
The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,https://www.politifact.com/factchecks/2021/sep/29/facebook-posts/biden-infrastructure-plan-wouldnt-establish-mile-d/,mber 29^ 2021,Facebook posts,false
There are 500^000 “missing kids a year.”,https://www.politifact.com/factchecks/2021/sep/29/viral-image/post-overstates-number-missing-kids-flawed-compari/,mber 29^ 2021,Viral image,barely-true
Arizona “could decertify” the 2020 presidential election,https://www.politifact.com/factchecks/2021/sep/29/facebook-posts/posts-stating-arizona-could-decertify-2020-preside/,mber 29^ 2021,Facebook posts,pants-fire
Democrats “want to tax your retirement funds to pay for their new trillion dollar power grab.”,https://www.politifact.com/factchecks/2021/sep/29/common-sense-leadership-fund/republican-pac-ad-distorts-democratic-plans-tax-ju/,mber 29^ 2021,Common Sense Leadership Fund,barely-true
“The Democrats want you American taxpayers to shell out $3 billion for ‘non-racist’ trees.”,https://www.politifact.com/factchecks/2021/sep/29/freedomworks/tree-equity-part-35t-bill-targets-low-income-areas/,mber 29^ 2021,FreedomWorks,barely-true
